Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
137500,2.483,20,835,161,290,133,37.81,-122.29,2249.485926,554238.6099,733014.5326,63308.9672,13046.18672
177500,0.9241,17,1237,462,762,439,37.81,-122.28,2599.638961,553647.8988,732439.2981,62826.24581,13885.06215
102100,2.4464,36,2914,562,1236,509,37.81,-122.28,2599.638961,553647.8988,732439.2981,62826.24581,13885.06215
108300,1.1111,19,1207,243,721,207,37.81,-122.28,2599.638961,553647.8988,732439.2981,62826.24581,13885.06215
112500,0.8026,23,1745,374,1054,325,37.81,-122.29,2249.485926,554238.6099,733014.5326,63308.9672,13046.18672
131300,2.0114,38,684,176,344,155,37.8,-122.28,1769.573998,552824.8873,731598.8741,61896.5934,13606.83953
162500,1.5,17,924,289,609,289,37.81,-122.28,2599.638961,553647.8988,732439.2981,62826.24581,13885.06215
112500,1.1667,52,210,56,183,56,37.81,-122.27,3162.273012,553058.0199,731864.7344,62352.24431,14728.58329
112500,1.5208,52,340,97,200,87,37.81,-122.28,2599.638961,553647.8988,732439.2981,62826.24581,13885.06215
137500,0.8075,52,386,164,346,155,37.81,-122.28,2599.638961,553647.8988,732439.2981,62826.24581,13885.06215
118800,1.8088,35,948,184,467,169,37.81,-122.28,2599.638961,553647.8988,732439.2981,62826.24581,13885.06215
98200,2.4083,52,773,143,377,115,37.81,-122.28,2599.638961,553647.8988,732439.2981,62826.24581,13885.06215
118800,0.977,40,880,451,582,380,37.81,-122.27,3162.273012,553058.0199,731864.7344,62352.24431,14728.58329
162500,0.76,10,875,348,546,330,37.81,-122.27,3162.273012,553058.0199,731864.7344,62352.24431,14728.58329
137500,0.9722,10,105,42,125,39,37.8,-122.27,2524.614616,552234.0515,731023.5749,61415.35211,14466.70538
500001,1.2434,52,249,78,396,85,37.8,-122.27,2524.614616,552234.0515,731023.5749,61415.35211,14466.70538
162500,2.0938,16,994,392,800,362,37.8,-122.27,2524.614616,552234.0515,731023.5749,61415.35211,14466.70538
137500,0.8668,52,215,87,904,88,37.8,-122.28,1769.573998,552824.8873,731598.8741,61896.5934,13606.83953
162500,0.75,52,96,31,191,34,37.8,-122.28,1769.573998,552824.8873,731598.8741,61896.5934,13606.83953
187500,2.6354,27,1055,347,718,302,37.79,-122.27,2284.786543,551411.0916,730183.1365,60484.38988,14286.80586
179200,1.8477,39,1715,623,1327,467,37.8,-122.27,2524.614616,552234.0515,731023.5749,61415.35211,14466.70538
130000,2.0096,36,5329,2477,3469,2323,37.8,-122.26,3340.671619,551644.05,730448.9479,60943.05749,15328.71514
183800,2.8345,31,4596,1331,2048,1180,37.82,-122.26,4569.927385,553294.9042,732133.456,62836.7606,15897.37759
125000,2.0062,29,335,107,202,91,37.81,-122.26,3845.221777,552468.976,731290.8432,61887.16304,15575.99538
170000,1.2185,22,3682,1270,2024,1250,37.82,-122.26,4569.927385,553294.9042,732133.456,62836.7606,15897.37759
193100,2.6104,37,3633,1085,1838,980,37.82,-122.26,4569.927385,553294.9042,732133.456,62836.7606,15897.37759
257800,2.4912,29,4656,1414,2304,1250,37.81,-122.25,4595.14988,551880.7697,730717.626,61431.20462,16426.69626
273400,3.2177,28,5806,1603,2563,1497,37.81,-122.25,4595.14988,551880.7697,730717.626,61431.20462,16426.69626
237500,3.125,39,854,242,389,228,37.81,-122.25,4595.14988,551880.7697,730717.626,61431.20462,16426.69626
350000,2.5795,52,2155,701,895,613,37.81,-122.25,4595.14988,551880.7697,730717.626,61431.20462,16426.69626
335700,2.8406,34,5871,1914,2689,1789,37.81,-122.26,3845.221777,552468.976,731290.8432,61887.16304,15575.99538
313400,4.9306,52,1509,225,674,244,37.82,-122.24,5923.307236,552121.2452,730989.1673,61948.12934,17570.22252
268500,3.2727,52,2026,482,709,456,37.81,-122.24,5384.142107,551293.4037,730145.0844,60984.57369,17280.2002
259400,3.1691,52,1758,460,686,422,37.81,-122.25,4595.14988,551880.7697,730717.626,61431.20462,16426.69626
275700,3.9,52,3481,751,1444,718,37.82,-122.24,5923.307236,552121.2452,730989.1673,61948.12934,17570.22252
225000,3.9063,28,3337,855,1520,802,37.82,-122.25,5216.612985,552707.6543,731560.9737,62387.80348,16731.63608
262500,5.0917,52,1424,289,550,253,37.82,-122.25,5216.612985,552707.6543,731560.9737,62387.80348,16731.63608
218500,2.6429,32,3809,1098,1806,1022,37.82,-122.25,5216.612985,552707.6543,731560.9737,62387.80348,16731.63608
255000,3.0233,26,3959,1196,1749,1217,37.82,-122.25,5216.612985,552707.6543,731560.9737,62387.80348,16731.63608
224100,3.1484,52,2376,559,939,519,37.83,-122.25,5981.936281,553535.5349,732405.0354,63349.47504,17103.561
243100,3.4722,35,1613,428,675,422,37.83,-122.25,5981.936281,553535.5349,732405.0354,63349.47504,17103.561
231600,3.1429,52,1279,287,534,291,37.83,-122.25,5981.936281,553535.5349,732405.0354,63349.47504,17103.561
218500,2.4234,28,5022,1750,2558,1661,37.83,-122.25,5981.936281,553535.5349,732405.0354,63349.47504,17103.561
234100,3.0897,52,4190,1105,1786,1037,37.83,-122.25,5981.936281,553535.5349,732405.0354,63349.47504,17103.561
327600,5.8596,50,2515,399,970,373,37.84,-122.23,8006.933746,553196.2505,732109.8073,63472.78528,19148.02847
347600,5.2868,47,3175,454,1098,485,37.84,-122.23,8006.933746,553196.2505,732109.8073,63472.78528,19148.02847
366100,5.956,41,2576,406,794,376,37.83,-122.24,6607.194021,552950.0809,731833.963,62916.58027,17924.64718
335000,4.9643,37,334,54,98,47,37.85,-122.24,8259.085109,554610.7171,733525.6829,64867.28983,18811.48745
373600,6.3434,52,2800,411,1061,403,37.85,-122.23,8810.498285,554028.0133,732956.7532,64456.75042,19600.22597
389500,5.1773,52,3529,574,1177,555,37.84,-122.24,7395.763579,553779.9064,732679.469,63889.70386,18339.74073
391100,7.2354,52,2612,365,901,367,37.85,-122.24,8259.085109,554610.7171,733525.6829,64867.28983,18811.48745
337300,5.457,28,5287,1048,2031,956,37.85,-122.22,9411.713364,553446.1574,732388.5031,64055.69916,20396.30039
295200,7.5,50,2935,473,1031,479,37.84,-122.22,8664.175753,552613.442,731540.8251,63065.42182,19962.25241
292300,6.0194,44,3424,597,1358,597,37.84,-122.21,9357.78709,552031.4835,730972.5239,62667.79981,20781.71483
411500,7.5544,40,4991,674,1616,654,37.83,-122.21,8748.161389,551198.7947,730124.8179,61675.23053,20416.64768
311500,6.0666,30,2211,346,844,343,37.84,-122.2,10080.26295,551450.3778,730404.9053,62280.10584,21605.81966
325900,7.0548,34,3038,490,1140,496,37.84,-122.21,9357.78709,552031.4835,730972.5239,62667.79981,20781.71483
392600,11.6017,18,1617,210,533,194,37.84,-122.19,10825.82592,550870.1276,729837.971,61902.52646,22434.0553
319300,7.4882,35,2865,460,1072,443,37.84,-122.2,10080.26295,551450.3778,730404.9053,62280.10584,21605.81966
333300,6.8976,34,5065,788,1627,766,37.83,-122.21,8748.161389,551198.7947,730124.8179,61675.23053,20416.64768
335200,8.2049,28,1326,184,463,190,37.83,-122.19,10303.62416,550035.5272,728988.7974,60897.37954,22096.52335
351200,8.401,26,1589,223,542,211,37.83,-122.2,9517.129435,550616.7335,729556.4656,61281.20404,21255.02312
368900,6.8538,29,1791,271,661,269,37.83,-122.19,10303.62416,550035.5272,728988.7974,60897.37954,22096.52335
365900,8.317,32,1835,264,635,263,37.82,-122.19,9879.458244,549201.9074,728140.3284,59896.00768,21810.5182
366700,7.0175,37,1229,181,420,176,37.82,-122.2,9056.084428,549784.0716,728708.7317,60286.26047,20957.41936
362800,6.3302,39,3770,534,1265,500,37.82,-122.2,9056.084428,549784.0716,728708.7317,60286.26047,20957.41936
483300,6.3624,30,292,38,126,52,37.81,-122.18,9430.448165,547787.0052,726724.1123,58512.31552,22442.11187
331400,7.0549,52,2375,333,813,350,37.82,-122.21,8244.10925,550367.0902,729277.8189,60686.80116,20106.52104
323500,6.7851,45,2964,436,1067,426,37.81,-122.2,8713.348297,548952.3966,727861.7061,59295.47438,20715.30107
216700,2.8929,50,2833,605,1260,552,37.8,-122.21,7632.426885,548706.6518,727585.9515,58723.19748,19661.03059
233100,3.0812,38,2254,535,951,487,37.8,-122.21,7632.426885,548706.6518,727585.9515,58723.19748,19661.03059
296400,5.2402,52,1389,212,510,224,37.81,-122.21,7865.952463,549536.3744,728431.5293,59702.71732,19853.90966
273700,6.5217,52,1971,335,765,308,37.81,-122.22,7026.228662,550121.2033,729002.0344,60120.12146,18994.10458
227700,3.2632,52,2183,465,1129,460,37.8,-122.22,6763.647537,549292.4412,728157.1936,59147.57154,18792.28251
199600,3.0298,52,2286,464,1073,441,37.8,-122.22,6763.647537,549292.4412,728157.1936,59147.57154,18792.28251
239800,4.5428,52,2721,541,1185,515,37.8,-122.22,6763.647537,549292.4412,728157.1936,59147.57154,18792.28251
270100,4.072,52,2024,339,756,340,37.81,-122.22,7026.228662,550121.2033,729002.0344,60120.12146,18994.10458
302100,5.3509,52,2944,536,1034,521,37.81,-122.22,7026.228662,550121.2033,729002.0344,60120.12146,18994.10458
269500,3.1603,52,2033,486,787,459,37.8,-122.23,5897.79929,549879.0785,728729.1159,59581.96122,17924.51112
314700,4.7708,52,1433,229,612,213,37.81,-122.23,6197.296335,550706.8807,729573.22,60547.47665,18136.11145
390100,8.1564,52,2927,402,1021,380,37.81,-122.22,7026.228662,550121.2033,729002.0344,60120.12146,18994.10458
410300,8.8793,52,2315,292,861,258,37.81,-122.23,6197.296335,550706.8807,729573.22,60547.47665,18136.11145
352400,6.8591,52,2485,313,953,327,37.81,-122.24,5384.142107,551293.4037,730145.0844,60984.57369,17280.2002
287300,6.0302,52,1490,238,634,256,37.81,-122.24,5384.142107,551293.4037,730145.0844,60984.57369,17280.2002
348700,7.508,52,2814,365,878,352,37.81,-122.23,6197.296335,550706.8807,729573.22,60547.47665,18136.11145
243800,2.7477,52,2093,550,918,483,37.81,-122.24,5384.142107,551293.4037,730145.0844,60984.57369,17280.2002
211500,2.1944,52,888,168,360,175,37.8,-122.24,5036.394117,550466.5608,729301.7168,60026.14905,17057.8655
218400,3.0149,52,2087,510,1197,488,37.8,-122.25,4182.178356,551054.8856,729874.9946,60479.91916,16192.52641
269900,3.675,52,2513,502,1048,518,37.81,-122.24,5384.142107,551293.4037,730145.0844,60984.57369,17280.2002
218800,3.225,46,3232,835,1373,747,37.81,-122.25,4595.14988,551880.7697,730717.626,61431.20462,16426.69626
225000,2.9345,42,4120,1065,1715,1015,37.8,-122.25,4182.178356,551054.8856,729874.9946,60479.91916,16192.52641
250000,2.1429,43,2364,792,1359,722,37.8,-122.25,4182.178356,551054.8856,729874.9946,60479.91916,16192.52641
171400,1.6121,41,1471,469,1062,413,37.8,-122.25,4182.178356,551054.8856,729874.9946,60479.91916,16192.52641
193800,1.3929,29,2468,864,1335,773,37.8,-122.25,4182.178356,551054.8856,729874.9946,60479.91916,16192.52641
125000,2.3173,27,1632,492,1171,429,37.79,-122.24,4920.813655,549640.7211,728459.0669,59073.10518,16905.88916
97500,1.7772,45,1786,526,1475,460,37.79,-122.25,4042.114695,550230.0064,729033.0822,59534.2018,16032.22786
125000,2.6458,50,629,188,742,196,37.79,-122.25,4042.114695,550230.0064,729033.0822,59534.2018,16032.22786
138800,2.181,52,1339,391,1086,363,37.79,-122.25,4042.114695,550230.0064,729033.0822,59534.2018,16032.22786
116700,2.2303,36,1678,606,1645,543,37.8,-122.25,4182.178356,551054.8856,729874.9946,60479.91916,16192.52641
151800,1.6504,43,2344,647,1710,644,37.8,-122.25,4182.178356,551054.8856,729874.9946,60479.91916,16192.52641
127000,2.2697,52,996,228,731,228,37.8,-122.24,5036.394117,550466.5608,729301.7168,60026.14905,17057.8655
128600,2.1563,52,1591,373,1118,347,37.8,-122.24,5036.394117,550466.5608,729301.7168,60026.14905,17057.8655
140600,2.1348,52,1586,398,1006,335,37.8,-122.24,5036.394117,550466.5608,729301.7168,60026.14905,17057.8655
182700,2.6292,47,2046,588,1213,554,37.8,-122.24,5036.394117,550466.5608,729301.7168,60026.14905,17057.8655
146900,2.3833,52,1192,289,772,257,37.8,-122.23,5897.79929,549879.0785,728729.1159,59581.96122,17924.51112
122800,2.957,52,1803,420,1321,401,37.8,-122.24,5036.394117,550466.5608,729301.7168,60026.14905,17057.8655
169300,2.5238,49,2838,749,1487,677,37.8,-122.24,5036.394117,550466.5608,729301.7168,60026.14905,17057.8655
126600,1.9375,52,783,184,488,186,37.8,-122.23,5897.79929,549879.0785,728729.1159,59581.96122,17924.51112
127900,1.9028,51,1590,414,949,392,37.8,-122.23,5897.79929,549879.0785,728729.1159,59581.96122,17924.51112
123500,2.25,50,1746,480,1149,415,37.8,-122.23,5897.79929,549879.0785,728729.1159,59581.96122,17924.51112
111900,2.3929,52,1252,299,844,280,37.8,-122.23,5897.79929,549879.0785,728729.1159,59581.96122,17924.51112
112800,2.1917,43,5963,1344,4367,1231,37.79,-122.23,5799.521768,549052.2776,727885.7285,58621.63527,17780.05948
107900,2.9357,52,1783,395,1659,412,37.79,-122.23,5799.521768,549052.2776,727885.7285,58621.63527,17780.05948
137500,1.8854,30,999,264,1011,263,37.79,-122.23,5799.521768,549052.2776,727885.7285,58621.63527,17780.05948
105500,2.1638,39,1469,431,1464,389,37.79,-122.24,4920.813655,549640.7211,728459.0669,59073.10518,16905.88916
95500,2.125,47,1372,395,1237,303,37.79,-122.24,4920.813655,549640.7211,728459.0669,59073.10518,16905.88916
116100,3.375,52,674,180,647,168,37.79,-122.24,4920.813655,549640.7211,728459.0669,59073.10518,16905.88916
112200,2.2542,43,1626,376,1284,357,37.79,-122.24,4920.813655,549640.7211,728459.0669,59073.10518,16905.88916
75000,2.1,51,175,43,228,55,37.79,-122.25,4042.114695,550230.0064,729033.0822,59534.2018,16032.22786
112500,1.6,39,461,129,381,123,37.79,-122.25,4042.114695,550230.0064,729033.0822,59534.2018,16032.22786
125000,3.625,52,902,237,846,227,37.79,-122.25,4042.114695,550230.0064,729033.0822,59534.2018,16032.22786
115000,1.6929,20,2373,779,1659,676,37.8,-122.26,3340.671619,551644.05,730448.9479,60943.05749,15328.71514
95000,1.6471,52,391,128,520,138,37.77,-122.22,4226.277699,546812.1704,725626.9742,56260.9184,18577.0997
96400,2.59,52,1137,301,866,259,37.77,-122.22,4226.277699,546812.1704,725626.9742,56260.9184,18577.0997
72000,2.57,52,769,206,612,183,37.77,-122.23,4276.796616,547401.6982,726201.1134,56717.60478,17698.41562
71300,2.6429,52,472,146,415,126,37.78,-122.23,5377.371952,548226.4827,727043.0601,57666.75805,17704.40022
80800,3.0257,52,862,215,994,213,37.78,-122.23,5377.371952,548226.4827,727043.0601,57666.75805,17704.40022
128800,1.4886,50,1920,530,1525,477,37.78,-122.22,5337.285928,547637.9202,726469.661,57217.70869,18582.68533
112500,1.9338,43,1420,472,1506,438,37.78,-122.23,5377.371952,548226.4827,727043.0601,57666.75805,17704.40022
119400,1.4844,52,986,258,1008,255,37.78,-122.23,5377.371952,548226.4827,727043.0601,57666.75805,17704.40022
118100,1.6009,44,2340,825,2813,751,37.78,-122.23,5377.371952,548226.4827,727043.0601,57666.75805,17704.40022
122500,2.0375,48,1696,396,1481,343,37.79,-122.23,5799.521768,549052.2776,727885.7285,58621.63527,17780.05948
106300,2.293,49,1175,217,859,219,37.79,-122.23,5799.521768,549052.2776,727885.7285,58621.63527,17780.05948
132500,2.1494,37,2343,574,1608,523,37.79,-122.22,6448.618559,548464.6787,727313.0683,58180.01616,18654.66725
122700,1.6198,30,610,145,425,140,37.79,-122.23,5799.521768,549052.2776,727885.7285,58621.63527,17780.05948
113300,1.3281,40,930,199,564,184,37.79,-122.23,5799.521768,549052.2776,727885.7285,58621.63527,17780.05948
109500,3.5156,44,1487,314,961,272,37.79,-122.22,6448.618559,548464.6787,727313.0683,58180.01616,18654.66725
164700,3.9048,52,3424,690,2273,685,37.79,-122.22,6448.618559,548464.6787,727313.0683,58180.01616,18654.66725
125000,3.0893,52,762,190,600,195,37.79,-122.21,6534.583344,547877.927,726741.0882,57748.47388,19529.65371
124700,2.6042,46,2366,575,1647,527,37.79,-122.22,6448.618559,548464.6787,727313.0683,58180.01616,18654.66725
136700,2.5,49,1826,450,1201,424,37.79,-122.22,6448.618559,548464.6787,727313.0683,58180.01616,18654.66725
141700,2.7969,38,3049,711,2167,659,37.79,-122.22,6448.618559,548464.6787,727313.0683,58180.01616,18654.66725
150000,2.8321,29,1640,376,939,340,37.79,-122.2,6735.163378,547292.0252,726169.7896,57327.23598,20404.97011
138800,2.9583,47,1543,307,859,292,37.79,-122.21,6534.583344,547877.927,726741.0882,57748.47388,19529.65371
139200,2.8365,34,2364,557,1517,516,37.79,-122.21,6534.583344,547877.927,726741.0882,57748.47388,19529.65371
143800,2.875,35,1745,409,1143,386,37.79,-122.21,6534.583344,547877.927,726741.0882,57748.47388,19529.65371
156500,3.0682,39,2003,500,1109,464,37.8,-122.21,7632.426885,548706.6518,727585.9515,58723.19748,19661.03059
151000,3.0757,39,2018,447,1221,446,37.8,-122.21,7632.426885,548706.6518,727585.9515,58723.19748,19661.03059
273000,4.9559,43,3045,499,1115,455,37.8,-122.2,7805.948837,548121.713,727015.3913,58309.0577,20530.63138
217100,4.7721,52,1547,293,706,268,37.8,-122.2,7805.948837,548121.713,727015.3913,58309.0577,20530.63138
187100,3.4861,52,3519,711,1883,706,37.8,-122.21,7632.426885,548706.6518,727585.9515,58723.19748,19661.03059
239600,5.1184,41,2070,354,804,340,37.8,-122.2,7805.948837,548121.713,727015.3913,58309.0577,20530.63138
229700,4.0977,48,1321,263,506,252,37.8,-122.21,7632.426885,548706.6518,727585.9515,58723.19748,19661.03059
257300,4.744,48,1694,259,610,238,37.8,-122.19,8070.902204,547537.6274,726445.5144,57905.37181,21400.98091
246900,4.2727,46,1938,341,768,332,37.8,-122.19,8070.902204,547537.6274,726445.5144,57905.37181,21400.98091
179900,2.9844,50,968,195,462,184,37.79,-122.19,7040.569582,546706.9762,725599.1742,56916.53126,21280.57574
169600,4.1739,40,1060,256,667,235,37.79,-122.2,6735.163378,547292.0252,726169.7896,57327.23598,20404.97011
203300,3.8487,46,2041,405,1059,399,37.8,-122.2,7805.948837,548121.713,727015.3913,58309.0577,20530.63138
263400,4.0114,52,1813,271,637,277,37.8,-122.19,8070.902204,547537.6274,726445.5144,57905.37181,21400.98091
231800,4.6563,45,2718,451,1106,454,37.79,-122.19,7040.569582,546706.9762,725599.1742,56916.53126,21280.57574
140500,2.9297,28,3144,761,1737,669,37.79,-122.19,7040.569582,546706.9762,725599.1742,56916.53126,21280.57574
126000,2.3036,35,1802,459,1009,390,37.79,-122.2,6735.163378,547292.0252,726169.7896,57327.23598,20404.97011
122000,2.6667,49,882,195,737,210,37.79,-122.2,6735.163378,547292.0252,726169.7896,57327.23598,20404.97011
